Module_ID,Defect_Probability
50,0.91
36,0.7566666666666667
123,0.7466666666666667
151,0.7266666666666667
429,0.7233333333333334
275,0.6366666666666667
54,0.6133333333333333
426,0.61
402,0.5933333333333334
278,0.5766666666666667
15,0.5466666666666666
45,0.5466666666666666
350,0.47333333333333333
192,0.47333333333333333
60,0.43333333333333335
101,0.43
193,0.4166666666666667
400,0.4066666666666667
398,0.39666666666666667
51,0.3933333333333333
438,0.38
214,0.36
189,0.3433333333333333
254,0.33666666666666667
345,0.32666666666666666
176,0.31333333333333335
311,0.30666666666666664
424,0.29333333333333333
245,0.2733333333333333
253,0.27
243,0.2688333333333333
55,0.26555555555555554
330,0.24333333333333335
321,0.23
190,0.22666666666666666
433,0.21666666666666667
381,0.20666666666666667
310,0.20333333333333334
379,0.2
132,0.19666666666666666
22,0.1932063492063492
271,0.17
162,0.16333333333333333
73,0.1552222222222222
191,0.15
3,0.15
266,0.14333333333333334
441,0.14
361,0.13566666666666666
389,0.13
52,0.12666666666666668
216,0.12666666666666668
265,0.1
153,0.09333333333333334
317,0.09333333333333334
315,0.08266666666666665
237,0.08
261,0.07333333333333333
399,0.07333333333333333
56,0.07333333333333333
297,0.06377777777777778
203,0.057999999999999996
207,0.056666666666666664
332,0.05333333333333334
393,0.05333333333333334
395,0.05
259,0.03666666666666667
374,0.02666666666666667
107,0.025555555555555557
163,0.023333333333333334
346,0.023333333333333334
89,0.023333333333333334
23,0.023333333333333334
295,0.02
341,0.01
305,0.01
90,0.01
360,0.006666666666666667
93,0.006666666666666667
168,0.006666666666666667
104,0.0033333333333333335
386,0.0033333333333333335
272,0.0
82,0.0
308,0.0
171,0.0
108,0.0
136,0.0
219,0.0
